Ticket_ID,Created_At,Channel,Response_Time_Minutes,Resolution_Time_Minutes,CSAT_Score,Issue_Type,Daily_Ticket_Count
T0001,21-02-2025,LiveAgent,4,175,3,Ride cancellation,13
T0002,15-01-2025,LiveAgent,7,15,4,Lost item,11
T0003,13-03-2025,LiveAgent,8,162,4,Account access,9
T0004,02-03-2025,LiveAgent,17,154,2,Lost item,12
T0005,21-01-2025,Chatbot,5,70,5,Lost item,11
T0006,24-03-2025,Chatbot,7,21,,Lost item,5
T0007,28-03-2025,LiveAgent,28,15,4,Driver issue,10
T0008,16-03-2025,LiveAgent,20,36,4,Payment problem,17
T0009,16-03-2025,Chatbot,29,145,3,Payment problem,17
T0010,29-03-2025,Chatbot,20,133,2,Account access,9
T0011,24-01-2025,LiveAgent,4,115,4,,17
T0012,03-01-2025,Chatbot,28,102,5,Lost item,14
T0013,22-01-2025,LiveAgent,6,118,4,Driver issue,8
T0014,22-02-2025,LiveAgent,7,108,4,Lost item,12
T0015,02-01-2025,LiveAgent,18,177,4,Driver issue,15
T0016,29-03-2025,,5,151,3,Lost item,9
T0017,30-01-2025,Chatbot,20,44,4,App crash,10
T0018,07-02-2025,Chatbot,29,93,5,App crash,12
T0019,02-01-2025,Chatbot,3,65,2,Ride cancellation,15
T0020,05-03-2025,Chatbot,7,150,3,Lost item,13
T0021,01-03-2025,Chat bot,27,58,3,Account access,13
T0022,21-01-2025,Chatbot,28,55,4,Payment problem,11
T0023,02-02-2025,Chatbot,22,122,5,Ride cancellation,20
T0024,17-03-2025,Chatbot,14,145,2,Account access,9
T0025,27-02-2025,Chatbot,7,52,4,App crash,15
T0026,22-01-2025,chatBot,5,157,3,Lost item,8
T0027,30-03-2025,LiveAgent,29,133,5,Ride cancellation,14
T0028,18-02-2025,LiveAgent,22,106,2,Lost item,10
T0029,28-02-2025,Chatbot,5,99,4,App crash,12
T0030,11-02-2025,LiveAgent,23,48,4,Ride cancellation,10
T0031,01-03-2025,CHATBOT,2,94,4,App crash,13
T0032,21-03-2025,LiveAgent,27,71,4,Driver issue,8
T0033,15-01-2025,Chatbot,21,115,3,App crash,11
T0034,03-03-2025,LiveAgent,22,116,4,Lost item,23
T0035,03-03-2025,LiveAgent,6,63,3,Payment problem,23
T0036,16-02-2025,LiveAgent,15,135,3,Lost Item,13
T0037,03-03-2025,LiveAgent,21,18,4,Account access,23
T0038,20-02-2025,Chatbot,10,97,3,Payment problem,15
T0039,24-02-2025,Chatbot,23,46,3,Driver issue,8
T0040,05-03-2025,LiveAgent,26,58,4,Ride cancellation,13
T0041,03-01-2025,Chatbot,9999,50,5,Ride cancellation,14
T0042,20-02-2025,LiveAgent,7,26,4,Payment problem,15
T0043,07-01-2025,Chatbot,5,97,2,Ride cancellation,8
T0044,21-01-2025,Chatbot,1,30,2,App crash,11
T0045,14-03-2025,Chatbot,13,60,5,Payment problem,8
T0046,08-02-2025,Chatbot,21,-5,3,Lost item,12
T0047,18-01-2025,LiveAgent,26,176,2,App crash,9
T0048,04-01-2025,Chatbot,18,50,4,App crash,13
T0049,30-03-2025,Chatbot,13,48,4,App crash,14
T0050,01-03-2025,Chatbot,21,150,4,Lost item,13
T0051,2025-13-40,Chatbot,21,20,3,Driver issue,11
T0052,09-01-2025,LiveAgent,18,156,1,Account access,13
T0053,31-03-2025,Chatbot,5,148,5,Ride cancellation,21
T0054,22-02-2025,Chatbot,13,86,3,Payment problem,12
T0055,02-01-2025,Chatbot,4,136,4,Driver issue,15
T0056,10-05-2035,LiveAgent,17,55,4,Payment problem,11
T0057,01-03-2025,Chatbot,3,54,4,Ride cancellation,13
T0058,12-03-2025,LiveAgent,17,10,3,Lost item,6
T0059,13-02-2025,LiveAgent,28,177,3,App crash,12
T0060,08-01-2025,Chatbot,11,117,4,App crash,15
T0061,16-02-2025,Chatbot,21,28,5,Lost item,13
T0062,04-02-2025,Chatbot,20,85,5,Driver issue,12
T0063,19-03-2025,Chatbot,23,81,2,Driver issue,9
T0064,22-03-2025,LiveAgent,21,118,3,Payment problem,7
T0065,05-02-2025,LiveAgent,26,21,5,Lost item,13
T0066,19-02-2025,Chatbot,N/A,170,4,Driver issue,11
T0067,04-01-2025,Chatbot,2,54,5,Lost item,13
T0068,02-01-2025,Chatbot,20,99,3,Ride cancellation,15
T0069,06-01-2025,LiveAgent,16,112,4,App crash,12
T0070,23-02-2025,Chatbot,28,17,4,App crash,12
T0071,04-01-2025,Chatbot,18,162,4,App crash,13
T0072,23-02-2025,LiveAgent,8,100,4,Lost item,12
T0073,04-03-2025,LiveAgent,3,96,1,Lost item,14
T0074,18-01-2025,Chatbot,9,167,4,Payment problem,9
T0075,31-03-2025,LiveAgent,29,93,3,App crash,21
T0076,13-02-2025,LiveAgent,20,91,4,Payment problem,12
T0077,03-02-2025,Chatbot,29,155,5,App crash,11
T0078,15-03-2025,Chatbot,6,77,4,Payment problem,10
T0079,03-03-2025,Chatbot,10,170,5,Payment problem,23
T0080,14-01-2025,Chatbot,21,136,3,Ride cancellation,11
T0081,17-02-2025,LiveAgent,10,173,4,Payment problem,11
T0082,15-01-2025,LiveAgent,13,91,5,Lost item,11
T0083,13-03-2025,Chatbot,17,156,2,Payment problem,9
T0084,19-03-2025,Chatbot,9,165,1,App crash,9
T0085,28-03-2025,Chatbot,17,177,4,Payment problem,10
T0086,03-03-2025,Chatbot,24,93,2,Driver issue,23
T0087,09-02-2025,LiveAgent,9,122,4,Account access,9
T0088,26-03-2025,Chatbot,9,85,5,App crash,8
T0089,21-03-2025,Chatbot,1,131,4,Driver issue,8
T0090,23-03-2025,Chatbot,2,152,3,App crash,7
T0091,22-02-2025,LiveAgent,28,50,4,Lost item,12
T0092,24-01-2025,Chatbot,16,176,4,Account access,17
T0093,26-01-2025,LiveAgent,29,11,1,Account access,12
T0094,30-03-2025,Chatbot,1,38,4,Lost item,14
T0095,01-03-2025,LiveAgent,10,114,4,Account access,13
T0096,10-02-2025,LiveAgent,18,60,4,Lost item,5
T0097,29-01-2025,Chatbot,26,84,3,Driver issue,8
T0098,15-01-2025,Chatbot,28,19,4,Ride cancellation,11
T0099,14-02-2025,LiveAgent,8,151,2,App crash,10
T0100,06-03-2025,LiveAgent,21,60,3,Lost item,9
T0101,30-03-2025,Chatbot,28,127,5,App crash,14
T0102,12-03-2025,Chatbot,11,130,4,Driver issue,6
T0103,09-01-2025,LiveAgent,23,48,1,Ride cancellation,13
T0104,29-03-2025,Chatbot,2,37,3,Driver issue,9
T0105,01-01-2025,Chatbot,8,12,3,Account access,18
T0106,08-01-2025,LiveAgent,27,93,3,App crash,15
T0107,29-03-2025,Chatbot,22,164,3,Ride cancellation,9
T0108,04-03-2025,Chatbot,8,126,2,Account access,14
T0109,11-01-2025,Chatbot,17,11,4,Ride cancellation,5
T0110,22-03-2025,Chatbot,15,102,4,Account access,7
T0111,08-01-2025,Chatbot,17,175,4,Driver issue,15
T0112,04-02-2025,LiveAgent,28,140,4,Lost item,12
T0113,04-02-2025,Chatbot,23,153,2,App crash,12
T0114,02-02-2025,Chatbot,24,103,5,Payment problem,20
T0115,05-01-2025,Chatbot,13,49,5,Payment problem,13
T0116,10-02-2025,Chatbot,19,11,5,Driver issue,5
T0117,28-01-2025,LiveAgent,5,90,5,App crash,10
T0118,07-01-2025,Chatbot,12,178,5,App crash,8
T0119,14-03-2025,Chatbot,1,21,4,Driver issue,8
T0120,13-03-2025,LiveAgent,23,172,3,App crash,9
T0121,12-01-2025,Chatbot,5,74,4,Lost item,14
T0122,03-02-2025,Chatbot,8,64,4,Driver issue,11
T0123,02-02-2025,Chatbot,13,54,4,Lost item,20
T0124,17-02-2025,Chatbot,8,110,4,App crash,11
T0125,23-01-2025,Chatbot,25,71,2,Driver issue,14
T0126,03-03-2025,Chatbot,23,58,4,App crash,23
T0127,29-03-2025,LiveAgent,11,136,5,Driver issue,9
T0128,06-02-2025,Chatbot,1,162,4,App crash,8
T0129,13-02-2025,Chatbot,13,32,4,Lost item,12
T0130,27-03-2025,LiveAgent,19,161,3,Lost item,15
T0131,04-02-2025,Chatbot,24,47,4,App crash,12
T0132,06-03-2025,LiveAgent,3,37,5,Driver issue,9
T0133,16-02-2025,Chatbot,24,30,4,Payment problem,13
T0134,19-03-2025,Chatbot,17,116,5,Lost item,9
T0135,03-01-2025,LiveAgent,5,155,4,Lost item,14
T0136,01-01-2025,Chatbot,20,173,4,Account access,18
T0137,05-01-2025,Chatbot,21,108,3,Payment problem,13
T0138,31-03-2025,Chatbot,8,128,4,App crash,21
T0139,14-01-2025,Chatbot,26,82,4,Driver issue,11
T0140,27-01-2025,LiveAgent,14,131,4,Account access,11
T0141,09-01-2025,Chatbot,4,39,4,App crash,13
T0142,20-03-2025,Chatbot,11,117,5,Ride cancellation,8
T0143,15-01-2025,Chatbot,20,107,2,Lost item,11
T0144,31-03-2025,LiveAgent,15,41,5,Ride cancellation,21
T0145,11-02-2025,Chatbot,19,165,3,Lost item,10
T0146,18-03-2025,LiveAgent,7,88,4,Lost item,8
T0147,20-02-2025,Chatbot,19,50,1,Ride cancellation,15
T0148,04-03-2025,LiveAgent,28,72,3,Ride cancellation,14
T0149,21-02-2025,LiveAgent,19,32,4,App crash,13
T0150,04-01-2025,LiveAgent,11,113,2,Account access,13
T0151,23-01-2025,LiveAgent,26,84,4,Account access,14
T0152,15-01-2025,Chatbot,5,57,5,Ride cancellation,11
T0153,12-02-2025,Chatbot,5,169,2,App crash,5
T0154,29-01-2025,Chatbot,22,66,5,Account access,8
T0155,05-02-2025,Chatbot,8,127,4,App crash,13
T0156,13-01-2025,Chatbot,10,109,4,App crash,11
T0157,01-02-2025,Chatbot,6,133,3,Lost item,12
T0158,12-03-2025,Chatbot,15,170,3,Account access,6
T0159,28-02-2025,Chatbot,16,161,3,Account access,12
T0160,27-03-2025,LiveAgent,28,176,2,Lost item,15
T0161,28-01-2025,Chatbot,17,43,3,Ride cancellation,10
T0162,07-03-2025,LiveAgent,8,165,4,Lost item,10
T0163,11-02-2025,LiveAgent,8,174,5,Account access,10
T0164,14-02-2025,LiveAgent,25,16,5,Account access,10
T0165,03-03-2025,LiveAgent,9,174,4,Ride cancellation,23
T0166,26-02-2025,LiveAgent,2,65,2,Lost item,10
T0167,06-01-2025,LiveAgent,15,74,3,Driver issue,12
T0168,28-01-2025,LiveAgent,18,56,3,Driver issue,10
T0169,28-01-2025,Chatbot,3,157,3,Ride cancellation,10
T0170,13-02-2025,Chatbot,17,28,4,Lost item,12
T0171,25-03-2025,Chatbot,4,166,4,Lost item,11
T0172,30-01-2025,Chatbot,4,155,4,App crash,10
T0173,03-03-2025,LiveAgent,14,172,4,Account access,23
T0174,16-03-2025,LiveAgent,9,135,5,Payment problem,17
T0175,30-03-2025,LiveAgent,9,148,5,Ride cancellation,14
T0176,03-03-2025,Chatbot,25,58,3,Payment problem,23
T0177,01-01-2025,LiveAgent,26,122,5,Payment problem,18
T0178,27-01-2025,LiveAgent,23,47,5,Ride cancellation,11
T0179,03-03-2025,LiveAgent,18,73,3,Lost item,23
T0180,18-03-2025,LiveAgent,10,78,4,Ride cancellation,8
T0181,03-01-2025,LiveAgent,21,145,4,Payment problem,14
T0182,11-03-2025,Chatbot,4,171,5,Account access,11
T0183,13-03-2025,LiveAgent,12,125,5,Account access,9
T0184,27-01-2025,Chatbot,27,74,2,Account access,11
T0185,09-01-2025,Chatbot,8,40,4,Lost item,13
T0186,03-03-2025,LiveAgent,2,141,4,Driver issue,23
T0187,06-02-2025,Chatbot,22,122,4,Ride cancellation,8
T0188,20-02-2025,LiveAgent,13,118,3,Account access,15
T0189,13-02-2025,Chatbot,21,78,5,Ride cancellation,12
T0190,24-01-2025,LiveAgent,16,167,4,Account access,17
T0191,20-03-2025,Chatbot,28,129,5,Lost item,8
T0192,28-02-2025,LiveAgent,2,97,5,Driver issue,12
T0193,01-02-2025,LiveAgent,11,76,4,Driver issue,12
T0194,29-03-2025,Chatbot,10,84,4,Account access,9
T0195,21-02-2025,Chatbot,15,54,4,Lost item,13
T0196,03-03-2025,LiveAgent,17,13,3,App crash,23
T0197,27-02-2025,Chatbot,8,163,4,Ride cancellation,15
T0198,21-02-2025,Chatbot,18,164,3,Ride cancellation,13
T0199,12-01-2025,Chatbot,23,116,4,Payment problem,14
T0200,08-02-2025,Chatbot,9,60,3,Lost item,12
T0201,02-01-2025,LiveAgent,25,59,2,Payment problem,15
T0202,03-01-2025,LiveAgent,8,15,3,Account access,14
T0203,25-02-2025,Chatbot,27,68,1,Payment problem,10
T0204,22-03-2025,Chatbot,14,134,4,Driver issue,7
T0205,28-02-2025,LiveAgent,28,152,4,Ride cancellation,12
T0206,02-01-2025,Chatbot,26,39,4,Payment problem,15
T0207,02-01-2025,Chatbot,25,179,3,Driver issue,15
T0208,23-02-2025,LiveAgent,18,131,2,Lost item,12
T0209,28-03-2025,LiveAgent,22,134,1,Payment problem,10
T0210,01-01-2025,LiveAgent,20,46,3,Account access,18
T0211,19-01-2025,LiveAgent,20,179,5,Account access,15
T0212,02-01-2025,Chatbot,21,133,3,Account access,15
T0213,22-02-2025,LiveAgent,12,110,4,Ride cancellation,12
T0214,13-02-2025,Chatbot,19,44,2,Payment problem,12
T0215,31-03-2025,Chatbot,14,96,3,Lost item,21
T0216,01-02-2025,Chatbot,17,143,4,Payment problem,12
T0217,11-03-2025,Chatbot,24,27,4,Ride cancellation,11
T0218,01-02-2025,LiveAgent,21,122,3,Driver issue,12
T0219,09-03-2025,Chatbot,3,38,2,Ride cancellation,6
T0220,24-02-2025,Chatbot,26,86,4,Account access,8
T0221,16-03-2025,Chatbot,23,68,3,Driver issue,17
T0222,25-02-2025,Chatbot,7,135,3,Account access,10
T0223,17-01-2025,LiveAgent,17,154,5,App crash,16
T0224,07-02-2025,Chatbot,12,118,4,Ride cancellation,12
T0225,24-01-2025,LiveAgent,9,31,4,Ride cancellation,17
T0226,10-03-2025,Chatbot,15,77,4,Lost item,13
T0227,11-03-2025,Chatbot,18,78,4,Payment problem,11
T0228,27-03-2025,LiveAgent,21,174,4,Driver issue,15
T0229,11-01-2025,Chatbot,13,58,4,Driver issue,5
T0230,16-01-2025,LiveAgent,21,150,4,Lost item,13
T0231,14-03-2025,Chatbot,8,171,3,Lost item,8
T0232,28-02-2025,Chatbot,14,118,4,Payment problem,12
T0233,11-03-2025,LiveAgent,8,95,4,Account access,11
T0234,21-03-2025,Chatbot,14,62,5,Payment problem,8
T0235,03-01-2025,Chatbot,7,132,4,Ride cancellation,14
T0236,20-01-2025,LiveAgent,23,96,4,Account access,8
T0237,28-02-2025,Chatbot,12,140,2,App crash,12
T0238,05-02-2025,LiveAgent,11,51,4,Payment problem,13
T0239,19-01-2025,Chatbot,22,107,2,Lost item,15
T0240,31-03-2025,LiveAgent,22,169,3,Account access,21
T0241,08-03-2025,LiveAgent,11,118,2,Payment problem,10
T0242,19-01-2025,LiveAgent,25,60,4,Driver issue,15
T0243,20-01-2025,LiveAgent,22,94,3,App crash,8
T0244,12-03-2025,Chatbot,28,136,4,Ride cancellation,6
T0245,21-02-2025,LiveAgent,29,30,5,Driver issue,13
T0246,02-02-2025,Chatbot,13,53,3,Driver issue,20
T0247,09-02-2025,Chatbot,18,148,4,App crash,9
T0248,08-02-2025,Chatbot,2,112,4,Ride cancellation,12
T0249,23-03-2025,Chatbot,29,77,1,Lost item,7
T0250,01-01-2025,Chatbot,21,138,5,Account access,18
T0251,11-01-2025,LiveAgent,15,101,2,Ride cancellation,5
T0252,26-02-2025,LiveAgent,20,33,4,Payment problem,10
T0253,30-03-2025,LiveAgent,27,134,4,Driver issue,14
T0254,19-02-2025,Chatbot,18,150,4,Payment problem,11
T0255,23-01-2025,LiveAgent,15,120,4,Lost item,14
T0256,31-01-2025,Chatbot,19,107,3,Payment problem,4
T0257,11-02-2025,Chatbot,23,148,1,Ride cancellation,10
T0258,07-01-2025,Chatbot,24,26,4,Payment problem,8
T0259,16-01-2025,Chatbot,12,108,4,Lost item,13
T0260,31-03-2025,LiveAgent,13,91,5,Lost item,21
T0261,01-03-2025,Chatbot,22,113,5,Lost item,13
T0262,02-01-2025,Chatbot,11,161,5,Ride cancellation,15
T0263,01-01-2025,Chatbot,5,28,4,Lost item,18
T0264,17-02-2025,Chatbot,29,174,3,Driver issue,11
T0265,12-01-2025,Chatbot,1,94,5,Lost item,14
T0266,10-03-2025,LiveAgent,24,17,4,Payment problem,13
T0267,06-02-2025,Chatbot,3,37,3,Account access,8
T0268,01-02-2025,Chatbot,22,14,5,Payment problem,12
T0269,09-01-2025,Chatbot,19,154,5,Account access,13
T0270,19-01-2025,LiveAgent,23,110,4,Payment problem,15
T0271,17-02-2025,LiveAgent,29,173,2,Ride cancellation,11
